LastName,FirstName,BirthDate,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CitizenshipStartDate,PassportCountry,PassportIssueDate,PassportExpirationDate,CurrentEmploymentType,CurrentEmploymentTitle,CurrentEmploymentStartDate,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,MilitaryDischargeDate
Vasco-Pais,Willem,3/18/1975,Tethys,Male,Tethys,BirthNation,3/18/1975,Tethys,11/26/2011,11/25/2021,Executive,Environmental Safety Advisor,6/5/2010,Willem.Vasco-Pais@gastech.com.kronos,,,
Sanjorge Jr.,Sten,8/29/1948,Tethys,Male,Tethys,BirthNation,8/29/1948,Tethys,4/21/2013,4/20/2023,Executive,President/CEO,11/9/1990,Sten.Sanjorge Jr.@gastech.com.kronos,,,
Barranco,Ingrid,10/26/1961,Tethys,Female,Tethys,BirthNation,10/26/1961,Tethys,7/1/2013,6/30/2023,Executive,SVP/CFO,9/30/2003,Ingrid.Barranco@gastech.com.kronos,,,
Campo-Corrente,Ada,11/26/1951,Tethys,Female,Tethys,BirthNation,11/26/1951,Tethys,7/14/2013,7/13/2023,Executive,SVP/CIO,10/5/2004,Ada.Campo-Corrente@gastech.com.kronos,,,
Strum,Orhan,10/18/1963,Asteria,Male,Tethys,ParentCitizenship,10/18/1963,Tethys,6/2/2011,6/1/2021,Executive,SVP/COO,8/7/2003,Orhan.Strum@gastech.com.kronos,,,
Ovan,Bertrand,12/12/1964,Tethys,Male,Tethys,BirthNation,12/12/1964,Tethys,10/3/2008,10/2/2018,Facilities,Facilities Group Manager,10/1/1998,Bertrand.Ovan@gastech.com.kronos,TethanDefenseForceAir,HonorableDischarge,10/1/1993
Arpa,Emile,10/1/1992,Kronos,Male,Kronos,BirthNation,10/1/1992,,,,Facilities,Janitor,3/18/2013,Emile.Arpa@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2012
Awelon,Varro,5/5/1986,Kronos,Male,Kronos,BirthNation,5/5/1986,,,,Facilities,Janitor,10/22/2012,Varro.Awelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2006
Coginian,Dante,12/1/1971,Kronos,Male,Kronos,BirthNation,12/1/1971,,,,Facilities,Lead Janitor,1/7/1995,Dante.Coginian@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/1992
Hafon,Albina,6/14/1987,Kronos,Female,Kronos,BirthNation,6/14/1987,,,,Facilities,Truck Driver,9/12/2009,Albina.Hafon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2007
Hawelon,Benito,11/23/1978,Kronos,Male,Kronos,BirthNation,11/23/1978,,,,Facilities,Truck Driver,2/21/2000,Benito.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/1999
Hawelon,Claudio,8/13/1983,Kronos,Male,Kronos,BirthNation,8/13/1983,,,,Facilities,Truck Driver,3/13/2007,Claudio.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2003
Mies,Henk,9/23/1984,Kronos,Male,Kronos,BirthNation,9/23/1984,,,,Facilities,Truck Driver,7/12/2013,Henk.Mies@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/2004
Morlun,Valeria,9/22/1981,Kronos,Female,Kronos,BirthNation,9/22/1981,,,,Facilities,Truck Driver,12/2/2003,Valeria.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/2001
Morlun,Adan,10/9/1984,Kronos,Male,Kronos,BirthNation,10/9/1984,,,,Facilities,Truck Driver,1/14/2006,Adan.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/2005
Morluniau,Cecilia,9/2/1988,Kronos,Female,Kronos,BirthNation,9/2/1988,,,,Facilities,Truck Driver,4/30/2009,Cecilia.Morluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2008
Nant,Irene,3/13/1985,Kronos,Female,Kronos,BirthNation,3/13/1985,,,,Facilities,Truck Driver,11/30/2008,Irene.Nant@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2005
Scozzese,Dylan,5/25/1986,Kronos,Male,Kronos,BirthNation,5/25/1986,,,,Facilities,Truck Driver,3/1/2007,Dylan.Scozzese@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/2006
Bergen,Linnea,7/10/1969,Tethys,Female,Tethys,BirthNation,7/10/1969,Tethys,4/29/2004,4/28/2014,Information Technology,IT Group Manager,7/4/2004,Linnea.Bergen@gastech.com.kronos,,,
Alcazar,Lucas,4/17/1990,Tethys,Male,Tethys,BirthNation,4/17/1990,Tethys,1/24/2013,1/23/2023,Information Technology,IT Helpdesk,11/30/2010,Lucas.Alcazar@gastech.com.kronos,,,
Baza,Isak,2/12/1979,Tethys,Male,Tethys,BirthNation,2/12/1979,Tethys,8/13/2008,8/12/2018,Information Technology,IT Technician,3/20/2002,Isak.Baza@gastech.com.kronos,,,
Calixto,Nils,3/26/1982,Tethys,Male,Tethys,BirthNation,3/26/1982,Tethys,6/12/2012,6/11/2022,Information Technology,IT Technician,10/19/2004,Nils.Calixto@gastech.com.kronos,,,
Flecha,Sven,11/11/1986,Tethys,Male,Tethys,BirthNation,11/11/1986,Tethys,10/9/2006,10/8/2016,Information Technology,IT Technician,10/15/2010,Sven.Flecha@gastech.com.kronos,,,
Herrero,Kanon,10/3/1984,Tethys,Male,Tethys,BirthNation,10/3/1984,Tethys,10/10/2008,10/9/2018,Security,Badging Office,11/20/2008,Kanon.Herrero@gastech.com.kronos,,,
Lagos,Varja,5/1/1976,Tethys,Female,Tethys,BirthNation,5/1/1976,Tethys,7/7/2013,7/6/2023,Security,Badging Office,10/1/2006,Varja.Lagos@gastech.com.kronos,,,
Fusil,Stenig,4/29/1963,Tethys,Male,Tethys,BirthNation,4/29/1963,Tethys,4/3/2006,4/2/2016,Security,Building Control,2/5/2004,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,10/1/1987
Mies,Minke,11/19/1992,Kronos,Male,Kronos,BirthNation,11/19/1992,,,,Security,Perimeter Control,5/22/2013,Minke.Mies@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2011
Osvaldo,Hennie,5/31/1988,Kronos,Male,Kronos,BirthNation,5/31/1988,,,,Security,Perimeter Control,6/7/2011,Hennie.Osvaldo@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2010
Vann,Isia,12/13/1986,Kronos,Male,Kronos,BirthNation,12/13/1986,,,,Security,Perimeter Control,12/14/2007,Isia.Vann@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2007
Vann,Edvard,3/18/1991,Kronos,Male,Kronos,BirthNation,3/18/1991,,,,Security,Perimeter Control,8/15/2013,Edvard.Vann@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/2011
Resumir,Felix,6/30/1959,Tethys,Male,Tethys,BirthNation,6/30/1959,Tethys,3/20/2005,3/19/2015,Security,Security Group Manager,9/15/2003,Felix.Resumir@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,10/1/1997
Bodrogi,Loreto,4/17/1989,Kronos,Male,Kronos,BirthNation,4/17/1989,,,,Security,Site Control,8/17/2013,Loreto.Bodrogi@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/2008
Cocinaro,Hideki,12/25/1980,Tethys,Male,Tethys,BirthNation,12/25/1980,Tethys,5/25/2013,5/24/2023,Security,Site Control,1/1/2010,Hideki.Cocinaro@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,10/1/2009
Ferro,Inga,6/17/1989,Kronos,Female,Kronos,BirthNation,6/17/1989,,,,Security,Site Control,1/11/2013,Inga.Ferro@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/2012
